"symbol","entrez","alias"
"A-GAMMA3'E",109951028,"A-GAMMA3'E"
"A-GAMMA3'E",109951028,"A-gamma-e"
"A1BG",1,"A1BG"
"A1BG",1,"A1B1"
"A1BG",1,"ABG"
"A1BG",1,"GAB"
"A1BG",1,"HYST2477"
"A1BG-AS1",503538,"A1BG-AS1"
"A1BG-AS1",503538,"A1BG-AS"
"A1BG-AS1",503538,"A1BGAS"
"A1BG-AS1",503538,"NCRNA00181"
"A1CF",29974,"A1CF"
"A1CF",29974,"ASP6"
"A1CF",29974,"ACF64"
"A1CF",29974,"ACF65"
"A1CF",29974,"APOBEC1CF"
"A2M",2,"A2M"
"A2M",2,"A2MD"
"A2M",2,"CPAMD5"
"A2M",2,"FWP007"
"A2M",2,"S863-7"
"A2M",2,"A2M1"
"A2M-AS1",144571,"A2M-AS1"
"A2ML1",144568,"A2ML1"
"A2ML1",144568,"CPAMD9"
"A2ML1",144568,"OMS1"
"A2ML1",144568,"p170"
"A2ML1-AS1",100874108,"A2ML1-AS1"
"A2ML1-AS2",106478979,"A2ML1-AS2"
"A2MP1",3,"A2MP1"
"A2MP1",3,"A2MP"
"A3GALT2",127550,"A3GALT2"
"A3GALT2",127550,"A3GALT2P"
"A3GALT2",127550,"IGB3S"
"A3GALT2",127550,"IGBS3S"
"A4GALT",53947,"A4GALT"
"A4GALT",53947,"A14GALT"
"A4GALT",53947,"A4GALT1"
"A4GALT",53947,"Gb3S"
"A4GALT",53947,"P(k)"
"A4GALT",53947,"P1PK"
"A4GALT",53947,"PK"
"A4GNT",51146,"A4GNT"
"A4GNT",51146,"alpha4GnT"
"AA06",100506677,"AA06"
"AA06",100506677,"AA02"
"AA06",100506677,"AA04"
"AA06",100506677,"AA05"
"AA1",100034700,"AA1"
"AA2",100034703,"AA2"
"AAA1",100329167,"AAA1"
"AAA1",100329167,"AAA12"
"AAA2",100505390,"AAA2"
"AAA3",100188857,"AAA3"
"AAA4",100859927,"AAA4"
"AAAS",8086,"AAAS"
"AAAS",8086,"AAASb"
"AAAS",8086,"ADRACALA"
"AAAS",8086,"ADRACALIN"
"AAAS",8086,"ALADIN"
"AAAS",8086,"GL003"
"AABT",8212,"AABT"
"AACS",65985,"AACS"
"AACS",65985,"ACSF1"
"AACS",65985,"SUR-5"
"AACSP1",729522,"AACSP1"
"AACSP1",729522,"AACSL"
"AADAC",13,"AADAC"
"AADAC",13,"CES5A1"
"AADAC",13,"DAC1"
"AADACL2",344752,"AADACL2"
"AADACL2-AS1",101928142,"AADACL2-AS1"
"AADACL3",126767,"AADACL3"
"AADACL4",343066,"AADACL4"
"AADACP1",201651,"AADACP1"
"AADAT",51166,"AADAT"
"AADAT",51166,"KATII"
"AADAT",51166,"KYAT2"
"AAGAB",79719,"AAGAB"
"AAGAB",79719,"p343"
"AAGAB",79719,"KPPP1"
"AAGAB",79719,"PPKP1"
"AAGAB",79719,"PPKP1A"
"AAK1",22848,"AAK1"
"AAK1",22848,"AAK11"
