"symbol","entrez","alias"
"03.MMHAP34FRA.seq",53288,"03.MMHAP34FRA.seq"
"03B03F",27777,"03B03F"
"03B03R",27778,"03B03R"
"0610005C13Rik",71661,"0610005C13Rik"
"0610005C13Rik",71661,"AI182092"
"0610006L08Rik",76253,"0610006L08Rik"
"0610008J02Rik",78297,"0610008J02Rik"
"0610009B22Rik",66050,"0610009B22Rik"
"0610009E02Rik",100125929,"0610009E02Rik"
"0610009F21Rik",71671,"0610009F21Rik"
"0610009K14Rik",71681,"0610009K14Rik"
"0610009L18Rik",66838,"0610009L18Rik"
"0610010F05Rik",71675,"0610010F05Rik"
"0610010F05Rik",71675,"Kiaa1841"
"0610010F05Rik",71675,"mKIAA1841"
"0610010K14Rik",104457,"0610010K14Rik"
"0610010K14Rik",104457,"1110020A23Rik"
"0610010K14Rik",104457,"AL033328"
"0610010K14Rik",104457,"AU045833"
"0610010K14Rik",104457,"Bap18"
"0610012D04Rik",71676,"0610012D04Rik"
"0610012E21Rik",78298,"0610012E21Rik"
"0610012G03Rik",106264,"0610012G03Rik"
"0610012G03Rik",106264,"AI839730"
"0610025J13Rik",78687,"0610025J13Rik"
"0610025J13Rik",78687,"B430316H17Rik"
"0610030E20Rik",68364,"0610030E20Rik"
"0610030E20Rik",68364,"1500031N04Rik"
"0610030E20Rik",68364,"2810411C16Rik"
"0610030E20Rik",68364,"AI461894"
"0610031C06Rik",78299,"0610031C06Rik"
"0610031I08Rik",73843,"0610031I08Rik"
"0610031O16Rik",68369,"0610031O16Rik"
"0610033I19Rik",78301,"0610033I19Rik"
"0610033M10Rik",74093,"0610033M10Rik"
"0610033P13Rik",78363,"0610033P13Rik"
"0610037L18Rik",78364,"0610037L18Rik"
"0610038B21Rik",70345,"0610038B21Rik"
"0610039G09Rik",75399,"0610039G09Rik"
"0610039H22Rik",68397,"0610039H22Rik"
"0610039K10Rik",68386,"0610039K10Rik"
"0610040A22Rik",68376,"0610040A22Rik"
"0610040B10Rik",67672,"0610040B10Rik"
"0610040F04Rik",75394,"0610040F04Rik"
"0610040J01Rik",76261,"0610040J01Rik"
"0610040J01Rik",76261,"AI662686"
"0610042B02Rik",71688,"0610042B02Rik"
"0610042B23Rik",75402,"0610042B23Rik"
"0610042E11Rik",74095,"0610042E11Rik"
"0610042G04Rik",68380,"0610042G04Rik"
"0610043K17Rik",68400,"0610043K17Rik"
"0710001A04Rik",68402,"0710001A04Rik"
"0710001D07Rik",67679,"0710001D07Rik"
"0710001L09Rik",68414,"0710001L09Rik"
"0710005I21Rik",71692,"0710005I21Rik"
"0710007G10Rik",68409,"0710007G10Rik"
"0710008F09Rik",71697,"0710008F09Rik"
"0910001E24Rik",71695,"0910001E24Rik"
"1010001B22Rik",75403,"1010001B22Rik"
"1010001B22Rik",75403,"AW987535"
"102g4T7",56573,"102g4T7"
"106I22-Sp6",53159,"106I22-Sp6"
"109F12R",56574,"109F12R"
