"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifi27l2b",2.1640815684494e-150,2.92276692341083,0.973,0.387,2.93038285183733e-146
"Irf7",5.4250598956966e-129,3.70701328088761,0.87,0.165,7.34607360476276e-125
"Ly6a",8.02334020139514e-124,3.35851303436535,0.879,0.239,1.08644049667092e-119
"Ifi27l2a",2.8823240763047e-115,3.11690617199728,0.861,0.191,3.90295503172419e-111
"Stat1",2.74281068189041e-92,2.21080047949598,0.888,0.389,3.71403994434781e-88
"Ly6c2",3.42169184797195e-89,1.90796705412877,0.94,0.534,4.63331293133882e-85
"Ifit3",2.89210550166193e-88,4.19911096401261,0.671,0.053,3.91620005980041e-84
"Ifit1",2.63527286772585e-82,3.9058358778965,0.653,0.064,3.56842299018758e-78
"Ly6c1",1.50234461261983e-75,3.12043795022827,0.693,0.163,2.03432483994851e-71
"Bst2",8.59571322688199e-71,3.18678945373768,0.655,0.127,1.16394552805209e-66
"B2m",9.07458597967774e-71,0.734400398159085,1,0.99,1.22878968750816e-66
"Rnf213",5.1698609609146e-70,2.83554686490334,0.677,0.163,7.00050872717445e-66
"Gm14446",8.55994940957834e-67,2.95287884656201,0.669,0.165,1.159102749551e-62
"Plac8",1.03684922072248e-65,2.34763209865284,0.742,0.298,1.40399752978032e-61
"Slfn1",1.15046633991197e-65,2.79081181635763,0.677,0.193,1.5578464708748e-61
"Pyhin1",6.3416473069044e-65,2.7512815232543,0.661,0.158,8.58722461827924e-61
"Isg15",2.13905007036191e-63,3.63023952397965,0.569,0.066,2.89648770027706e-59
"Igtp",2.68617206912918e-62,2.44665013324355,0.669,0.16,3.63734559880782e-58
"Gm4955",9.36850540004076e-60,2.63077399279269,0.643,0.163,1.26858931621952e-55
"Shisa5",1.35692168499861e-53,1.00043369036923,0.965,0.83,1.83740765365662e-49
"Gm11410",5.99033479960587e-53,-0.739536908924851,0.962,0.995,8.1115123521463e-49
"Ms4a4c",1.55734051457883e-52,2.3305954433017,0.627,0.176,2.1087947907912e-48
"H2-K1",2.5895698845843e-51,0.885513332611466,0.973,0.873,3.5065365807156e-47
"Zbp1",4.86131467346239e-51,3.25750727324826,0.504,0.064,6.58270619933542e-47
"Oasl2",2.90707790750438e-50,4.18791132502939,0.458,0.036,3.93647419455169e-46
