"symbol","entrez","entrez_mouse","symbol_mouse"
"A1BG","1","117586","A1bg"
"A1CF","29974","69865","A1cf"
"A2M","2","232345","A2m"
"A3GALT2","127550","215493","A3galt2"
"A4GALT","53947","239559","A4galt"
"A4GNT","51146","333424","A4gnt"
"AAAS","8086","223921","Aaas"
"AACS","65985","78894","Aacs"
"AADAC","13","67758","Aadac"
"AADACL2","344752","639634","Aadacl2"
"AADACL3","126767","230883","Aadacl3"
"AADACL4","343066","435815","Aadacl4"
"AADACL4","343066","329993","Aadacl4fm5"
"AADACL4","343066","230890","Aadacl4fm4"
"AADACL4","343066","381572","Aadacl4fm1"
"AADACL4","343066","546849","AAdacl4fm3"
"AADAT","51166","23923","Aadat"
"AAGAB","79719","66939","Aagab"
"AAK1","22848","269774","Aak1"
"AAMDC","28971","66273","Aamdc"
"AAMP","14","227290","Aamp"
"AANAT","15","11298","Aanat"
"AAR2","25980","68295","Aar2"
"AARD","441376","239435","Aard"
"AARS1","16","234734","Aars"
"AARS2","57505","224805","Aars2"
"AASDH","132949","231326","Aasdh"
"AASDHPPT","60496","67618","Aasdhppt"
"AASS","10157","30956","Aass"
"AATF","26574","56321","Aatf"
"AATK","9625","11302","Aatk"
"ABAT","18","268860","Abat"
"ABCA1","19","11303","Abca1"
"ABCA12","26154","74591","Abca12"
"ABCA13","154664","268379","Abca13"
"ABCA2","20","11305","Abca2"
"ABCA3","21","27410","Abca3"
"ABCA4","24","11304","Abca4"
"ABCA5","23461","217265","Abca5"
"ABCA6","23460","76184","Abca6"
"ABCA7","10347","27403","Abca7"
"ABCA8","10351","27404","Abca8b"
"ABCA9","10350","217262","Abca9"
"ABCB1","5243","18671","Abcb1a"
"ABCB1","5243","18669","Abcb1b"
"ABCB10","23456","56199","Abcb10"
"ABCB11","8647","27413","Abcb11"
"ABCB4","5244","18670","Abcb4"
"ABCB5","340273","77706","Abcb5"
"ABCB6","10058","74104","Abcb6"
"ABCB7","22","11306","Abcb7"
"ABCB8","11194","74610","Abcb8"
"ABCB9","23457","56325","Abcb9"
"ABCC1","4363","17250","Abcc1"
"ABCC10","89845","224814","Abcc10"
"ABCC12","94160","244562","Abcc12"
"ABCC2","1244","12780","Abcc2"
"ABCC3","8714","76408","Abcc3"
"ABCC4","10257","239273","Abcc4"
"ABCC5","10057","27416","Abcc5"
"ABCC6","368","27421","Abcc6"
"ABCC8","6833","20927","Abcc8"
"ABCC9","10060","20928","Abcc9"
"ABCD1","215","11666","Abcd1"
"ABCD2","225","26874","Abcd2"
"ABCD3","5825","19299","Abcd3"
"ABCD4","5826","19300","Abcd4"
"ABCE1","6059","24015","Abce1"
"ABCF1","23","224742","Abcf1"
"ABCF3","55324","27406","Abcf3"
"ABCG1","9619","11307","Abcg1"
"ABCG2","9429","26357","Abcg2"
"ABCG2","9429","27405","Abcg3"
"ABCG4","64137","192663","Abcg4"
"ABCG5","64240","27409","Abcg5"
"ABCG8","64241","67470","Abcg8"
"ABHD1","84696","57742","Abhd1"
"ABHD10","55347","213012","Abhd10"
"ABHD11","83451","68758","Abhd11"
"ABHD12","26090","76192","Abhd12"
"ABHD12B","145447","100504285","Abhd12b"
"ABHD13","84945","68904","Abhd13"
"ABHD14A","25864","68644","Abhd14a"
"ABHD14B","84836","76491","Abhd14b"
"ABHD15","116236","67477","Abhd15"
"ABHD16A","7920","193742","Abhd16a"
"ABHD16B","140701","241850","Abhd16b"
"ABHD17A","81926","216169","Abhd17a"
"ABHD17B","51104","226016","Abhd17b"
"ABHD17C","58489","70178","Abhd17c"
"ABHD18","80167","269423","Abhd18"
"ABHD2","11057","54608","Abhd2"
"ABHD3","171586","106861","Abhd3"
"ABHD4","63874","105501","Abhd4"
"ABHD5","51099","67469","Abhd5"
"ABHD6","57406","66082","Abhd6"
"ABHD8","79575","64296","Abhd8"
"ABI1","10006","11308","Abi1"
"ABI2","10152","329165","Abi2"
"ABI3","51225","66610","Abi3"
"ABI3BP","25890","320712","Abi3bp"
"ABITRAM","54942","230234","Abitram"
"ABL1","25","11350","Abl1"
"ABL2","27","11352","Abl2"
"ABLIM1","3983","226251","Ablim1"
"ABLIM2","84448","231148","Ablim2"
"ABLIM3","22885","319713","Ablim3"
"ABO","28","80908","Abo"
"ABR","29","109934","Abr"
"ABRA","137735","223513","Abra"
"ABRACL","58527","73112","Abracl"
"ABRAXAS1","84142","70681","Abraxas1"
"ABRAXAS2","23172","109359","Abraxas2"
"ABT1","29777","30946","Abt1"
"ABTB1","80325","80283","Abtb1"
"ABTB2","25841","99382","Abtb2"
"ACAA1","30","113868","Acaa1a"
"ACAA1","30","235674","Acaa1b"
"ACAA2","10449","52538","Acaa2"
"ACACA","31","107476","Acaca"
"ACACB","32","100705","Acacb"
"ACAD10","80724","71985","Acad10"
"ACAD10","80724","338350","Acad12"
"ACAD11","84129","102632","Acad11"
"ACAD8","27034","66948","Acad8"
"ACAD9","28976","229211","Acad9"
"ACADL","33","11363","Acadl"
"ACADM","34","11364","Acadm"
"ACADS","35","11409","Acads"
"ACADSB","36","66885","Acadsb"
"ACADVL","37","11370","Acadvl"
"ACAN","176","11595","Acan"
"ACAP1","9744","216859","Acap1"
"ACAP2","23527","78618","Acap2"
"ACAP3","116983","140500","Acap3"
"ACAT1","38","110446","Acat1"
"ACAT2","39","110460","Acat2"
"ACAT2","39","224530","Acat3"
"ACBD3","64746","170760","Acbd3"
"ACBD4","79777","67131","Acbd4"
"ACBD5","91452","74159","Acbd5"
"ACBD7","414149","78245","Acbd7"
"ACCS","84680","329470","Accs"
"ACCSL","390110","381411","Accsl"
"ACD","65057","497652","Acd"
"ACE","1636","11421","Ace"
"ACE2","59272","70008","Ace2"
"ACER1","125981","171168","Acer1"
"ACER2","340485","230379","Acer2"
"ACER3","55331","66190","Acer3"
"ACHE","43","11423","Ache"
"ACIN1","22985","56215","Acin1"
"ACKR1","2532","13349","Ackr1"
"ACKR2","1238","59289","Ackr2"
"ACKR3","57007","12778","Ackr3"
"ACKR4","51554","252837","Ackr4"
"ACLY","47","104112","Acly"
"ACMSD","130013","266645","Acmsd"
"ACO1","48","11428","Aco1"
"ACO2","50","11429","Aco2"
"ACOD1","730249","16365","Acod1"
"ACOT1","641371","26897","Acot1"
"ACOT11","26027","329910","Acot11"
"ACOT12","134526","74156","Acot12"
"ACOT13","55856","66834","Acot13"
"ACOT2","10965","171210","Acot2"
"ACOT4","122970","171282","Acot4"
"ACOT6","641372","217700","Acot6"
"ACOT7","11332","70025","Acot7"
"ACOT8","10005","170789","Acot8"
"ACOT9","23597","56360","Acot9"
"ACOT9","23597","64833","Acot10"
"ACOX1","51","11430","Acox1"
"ACOX2","8309","93732","Acox2"
"ACOX3","8310","80911","Acox3"
"ACOXL","55289","74121","Acoxl"
"ACP1","52","11431","Acp1"
"ACP2","53","11432","Acp2"
"ACP3","55","56318","Acpp"
"ACP4","93650","100503991","Acp4"
"ACP5","54","11433","Acp5"
"ACP6","51205","66659","Acp6"
"ACP7","390928","101744","Acp7"
"ACR","49","11434","Acr"
"ACRBP","84519","54137","Acrbp"
"ACRV1","56","11451","Acrv1"
"ACSBG1","23205","94180","Acsbg1"
"ACSBG2","81616","328845","Acsbg2"
"ACSF2","80221","264895","Acsf2"
"ACSF3","197322","257633","Acsf3"
"ACSL1","2180","14081","Acsl1"
"ACSL3","2181","74205","Acsl3"
"ACSL4","2182","50790","Acsl4"
"ACSL5","51703","433256","Acsl5"
"ACSL6","23305","216739","Acsl6"
"ACSM1","116285","117147","Acsm1"
"ACSM3","6296","20216","Acsm3"
"ACSM4","341392","233801","Acsm4"
"ACSM5","54988","272428","Acsm5"
"ACSS1","84532","68738","Acss1"
"ACSS2","55902","60525","Acss2"
"ACSS3","79611","380660","Acss3"
"ACTA1","58","11459","Acta1"
"ACTA2","59","11475","Acta2"
"ACTB","60","11461","Actb"
"ACTBL2","345651","238880","Actbl2"
"ACTC1","70","11464","Actc1"
"ACTG1","71","11465","Actg1"
"ACTG2","72","11468","Actg2"
"ACTL10","170487","70362","Actl10"
"ACTL6A","86","56456","Actl6a"
"ACTL6B","51412","83766","Actl6b"
"ACTL7A","10881","11470","Actl7a"
"ACTL7B","10880","11471","Actl7b"
"ACTL9","284382","69481","Actl9"
"ACTN1","87","109711","Actn1"
"ACTN2","88","11472","Actn2"
"ACTN3","89","11474","Actn3"
"ACTN4","81","60595","Actn4"
"ACTR10","55860","56444","Actr10"
"ACTR1A","10121","54130","Actr1a"
"ACTR1B","10120","226977","Actr1b"
"ACTR2","10097","66713","Actr2"
"ACTR3","10096","74117","Actr3"
"ACTR5","79913","109275","Actr5"
"ACTR6","64431","67019","Actr6"
"ACTR8","93973","56249","Actr8"
"ACTRT1","139741","73360","Actrt1"
"ACTRT2","140625","73353","Actrt2"
"ACTRT3","84517","76652","Actrt3"
"ACVR1","90","11477","Acvr1"
"ACVR1B","91","11479","Acvr1b"
"ACVR1C","130399","269275","Acvr1c"
"ACVR2A","92","11480","Acvr2a"
"ACVR2B","93","11481","Acvr2b"
"ACVRL1","94","11482","Acvrl1"
"ACY3","91703","71670","Acy3"
"ACYP1","97","66204","Acyp1"
"ACYP2","98","75572","Acyp2"
"ADA","100","11486","Ada"
"ADAD1","132612","21744","Adad1"
"ADAD2","161931","75773","Adad2"
"ADAL","161823","75894","Adal"
"ADAM10","102","11487","Adam10"
"ADAM11","4185","11488","Adam11"
"ADAM12","8038","11489","Adam12"
"ADAM15","8751","11490","Adam15"
"ADAM17","6868","11491","Adam17"
"ADAM18","8749","13524","Adam18"
"ADAM19","8728","11492","Adam19"
"ADAM2","2515","11495","Adam2"
"ADAM20","8748","384806","Adam20"
"ADAM20","8748","23793","Adam25"
"ADAM20","8748","546055","Adam39"
"ADAM21","8747","56622","Adam21"
"ADAM22","53616","11496","Adam22"
"ADAM23","8745","23792","Adam23"
"ADAM28","10863","13522","Adam28"
"ADAM29","11086","244486","Adam29"
"ADAM30","11085","71078","Adam30"
"ADAM32","203102","353188","Adam32"
"ADAM33","80332","110751","Adam33"
"ADAM7","8756","11500","Adam7"
"ADAM8","101","11501","Adam8"
"ADAM9","8754","11502","Adam9"
"ADAMDEC1","27299","58860","Adamdec1"
"ADAMTS1","9510","11504","Adamts1"
"ADAMTS10","81794","224697","Adamts10"
"ADAMTS12","81792","239337","Adamts12"
"ADAMTS13","11093","279028","Adamts13"
"ADAMTS14","140766","237360","Adamts14"
"ADAMTS15","170689","235130","Adamts15"
"ADAMTS16","170690","271127","Adamts16"
"ADAMTS17","170691","233332","Adamts17"
"ADAMTS18","170692","208936","Adamts18"
"ADAMTS19","171019","240322","Adamts19"
"ADAMTS2","9509","216725","Adamts2"
"ADAMTS20","80070","223838","Adamts20"
"ADAMTS3","9508","330119","Adamts3"
"ADAMTS4","9507","240913","Adamts4"
"ADAMTS5","11096","23794","Adamts5"
"ADAMTS6","11174","108154","Adamts6"
